Axial strain,Vol strain,sigma 1,sigma 3,p,q,e,eta,epQ,D,ec,psi
3.636691613,0.480310841,2124.507943,515.3881206,1051.761395,1609.119822,0.730647394,1.529928585,3.476587999,-0.096758505,0.797667931,-0.067020537
3.738323269,0.467029002,2133.085974,514.492801,1054.023859,1618.593173,0.730878366,1.535632386,3.582646934,-0.105167676,0.797494481,-0.066616116
3.843805351,0.454279032,2143.696514,515.3115573,1058.106543,1628.384957,0.731100088,1.53896124,3.692379007,-0.128052787,0.797182069,-0.066081981
3.939894354,0.440876522,2150.001018,514.5134413,1059.675967,1635.487577,0.731333157,1.543384608,3.792935513,-0.128796778,0.797062173,-0.065729016
4.03199191,0.427434551,2159.871102,514.8497023,1063.190169,1645.0214,0.731566913,1.547250387,3.889513727,-0.135374821,0.796794106,-0.065227193
4.136223217,0.413481872,2167.395777,515.0498092,1065.831798,1652.345967,0.73180955,1.550287738,3.998395927,-0.137516495,0.796592961,-0.06478341
4.232483895,0.399175186,2173.690947,515.3635276,1068.139334,1658.327419,0.732058344,1.552538481,4.0994255,-0.138769333,0.796417508,-0.064359164
4.333594394,0.384135322,2182.283226,514.6944423,1070.55737,1667.588784,0.732319887,1.557682783,4.205549287,-0.145484264,0.796233905,-0.063914018
4.436164131,0.368627643,2186.368999,514.9660673,1072.100378,1671.402932,0.732589565,1.558998547,4.31328825,-0.148735788,0.796116878,-0.063527312
4.532277659,0.352925517,2195.191857,515.1283452,1075.149516,1680.063512,0.732862625,1.56263244,4.41463582,-0.155155728,0.795885927,-0.063023302
4.785106022,0.312692824,2208.218087,515.0238073,1079.421901,1693.19428,0.733562272,1.568612124,4.680875081,-0.161040552,0.795563006,-0.062000734
5.030871181,0.270048422,2224.478399,515.6793181,1085.279012,1708.799081,0.734303858,1.574525134,4.940855041,-0.165093475,0.795121591,-0.060817734
5.27663021,0.225600815,2230.76284,514.8122125,1086.795755,1715.950628,0.735076802,1.578908106,5.201429938,-0.171995222,0.795007525,-0.059930723
5.525632671,0.179378598,2246.174395,515.4140238,1092.334148,1730.760372,0.735880606,1.584460557,5.465839805,-0.177737257,0.794591846,-0.05871124
5.772256206,0.13258162,2254.845865,515.9286493,1095.567721,1738.917216,0.736694406,1.587229326,5.728062332,-0.183151969,0.794349757,-0.057655351
6.021589754,0.082871376,2263.283736,514.9586854,1097.733702,1748.32505,0.737558867,1.592667736,5.993965962,-0.186986764,0.794187844,-0.056628977
6.26606735,0.032600669,2272.042317,515.3127694,1100.889285,1756.729548,0.738433074,1.595736802,6.255200461,-0.192093502,0.793952308,-0.055519234
6.520912896,-0.019096361,2276.73986,515.0727274,1102.295105,1761.667133,0.739332086,1.598181036,6.52727835,-0.195954609,0.793847512,-0.054515426
6.771411383,-0.072479927,2280.732681,513.9329158,1102.866171,1766.799766,0.740260426,1.602007399,6.795571359,-0.197003102,0.793804965,-0.05354454
7.013148309,-0.125007358,2285.901549,514.3380418,1104.859211,1771.563508,0.741173878,1.603429188,7.054817428,-0.200969267,0.793656584,-0.052482706
7.269710605,-0.179016585,2289.965497,515.2614001,1106.829432,1774.704097,0.742113098,1.603412454,7.3293828,-0.203528194,0.793510065,-0.051396966
7.514298564,-0.23307042,2294.966875,514.6681201,1108.101038,1780.298755,0.743053095,1.606621322,7.591988704,-0.203799403,0.793415585,-0.05036249
7.758757766,-0.28805817,2298.079035,514.8597812,1109.266199,1783.219254,0.744009332,1.607566565,7.854777156,-0.207680078,0.793329073,-0.049319741
8.006785358,-0.342269278,2300.642825,516.2564715,1111.051923,1784.386353,0.744952063,1.606033271,8.120875118,-0.209167793,0.793196594,-0.048244532
8.252967443,-0.398407122,2301.120689,515.0679636,1110.418872,1786.052725,0.7459283,1.608449541,8.385769817,-0.207467044,0.793243544,-0.047315244
8.499541928,-0.454597009,2301.437212,515.0158672,1110.489649,1786.421345,0.746905442,1.60867897,8.651074264,-0.20954369,0.793238294,-0.046332852
8.7570607,-0.510560423,2302.485738,515.7022248,1111.296729,1786.783513,0.747878646,1.607836563,8.927247508,-0.208999462,0.793178443,-0.045299797
9.002862647,-0.566664525,2302.229397,515.8204786,1111.290118,1786.408918,0.748854296,1.607509047,9.191750822,-0.208626811,0.793178933,-0.044324637
9.252803189,-0.623020264,2301.169618,515.814822,1110.933087,1785.354796,0.749834322,1.607076804,9.460476611,-0.207717698,0.793205406,-0.043371084
9.498764549,-0.678642253,2299.891499,516.0551875,1110.667291,1783.836312,0.750801589,1.606094215,9.724978633,-0.207961803,0.793225118,-0.042423529
9.760814317,-0.734567921,2297.356759,515.8195707,1109.6653,1781.537188,0.751774136,1.605472558,10.00567029,-0.207090458,0.793299453,-0.041525317
10.00215884,-0.789958862,2293.891508,516.0843629,1108.686745,1777.807145,0.752737385,1.60352521,10.26547846,-0.208958741,0.79337209,-0.040634705
10.24942616,-0.844714992,2293.676805,515.7305915,1108.379329,1777.946214,0.753689594,1.604095427,10.53099782,-0.210164085,0.793394917,-0.039705323
10.48673019,-0.900542294,2290.405876,516.1535235,1107.570974,1774.252352,0.75466043,1.601931067,10.78691095,-0.207797002,0.79345496,-0.03879453
10.73683628,-0.955145154,2288.997653,516.6856923,1107.456346,1772.31196,0.755609974,1.60034476,11.05521799,-0.206489797,0.793463477,-0.037853503
10.99420177,-1.011443703,2282.591572,515.6475606,1104.628898,1766.944012,0.756589006,1.599581556,11.33134967,-0.201575589,0.793673722,-0.037084716
11.2433759,-1.065126374,2280.902137,516.0095926,1104.307108,1764.892545,0.757522548,1.598189972,11.59841803,-0.201850704,0.793697671,-0.036175124
11.49713009,-1.118885108,2276.096948,516.1221461,1102.780413,1759.974802,0.758457412,1.595943109,11.87009179,-0.200661164,0.793811354,-0.035353942
11.73965794,-1.172167448,2272.295095,516.108337,1101.503923,1756.186758,0.759383992,1.594353612,12.13038043,-0.199625436,0.79390648,-0.034522488
11.98647768,-1.22482756,2268.80727,516.4463818,1100.566678,1752.360888,0.760299751,1.592235094,12.39475353,-0.198533781,0.793976369,-0.033676618
12.23351814,-1.276874021,2263.917079,515.9174605,1098.584,1747.999618,0.761204839,1.591138792,12.65914281,-0.195883256,0.794124335,-0.032919496
12.48679408,-1.329291074,2261.587373,516.0961576,1097.926563,1745.491216,0.762116372,1.589806891,12.92989111,-0.194131956,0.794173436,-0.032057064
12.73336857,-1.380416202,2257.945359,516.4873718,1096.973368,1741.457987,0.763005438,1.587511638,13.1935073,-0.191376184,0.794244658,-0.03123922
12.98067267,-1.431186179,2255.779363,516.5646073,1096.302859,1739.214756,0.763888328,1.586436395,13.45773473,-0.191514604,0.794294781,-0.030406453
